Time T(Setpoint) T(Copper) T(Cell1) T(Cell2) DAC T(Environment) RTH  
 s C C C C V C  
 0.000000E+0 3.700000E+1 2.890324E+1 2.800550E+1 2.804965E+1 -1.000000E+0 2.243136E+1 19.750279999999975  
 1.000000E+0 3.700000E+1 2.940010E+1 2.802404E+1 2.806820E+1 9.000000E+0 2.243519E+1 0.3737446913580244  
 2.000000E+0 3.700000E+1 3.016029E+1 2.804259E+1 2.809410E+1 8.388215E+0 2.242430E+1 0.6621372344818542  
 3.001000E+0 3.700000E+1 3.073593E+1 2.804259E+1 2.813825E+1 8.361665E+0 2.243166E+1 0.8474778062179362  
 4.000000E+0 3.700000E+1 3.128622E+1 2.805378E+1 2.820095E+1 8.500484E+0 2.244285E+1 0.9841603058610093  
 5.000000E+0 3.700000E+1 3.182558E+1 2.806865E+1 2.827469E+1 8.587592E+0 2.243565E+1 1.12076091880524  
 6.000000E+0 3.700000E+1 3.235766E+1 2.807249E+1 2.837419E+1 8.624256E+0 2.243212E+1 1.2674985103872476  
 7.000000E+0 3.700000E+1 3.286059E+1 2.809103E+1 2.849576E+1 8.608727E+0 2.243227E+1 1.4158691721753247  
 8.000000E+0 3.700000E+1 3.335623E+1 2.809855E+1 2.862836E+1 8.568647E+0 2.242138E+1 1.5754053913715562  
 9.000000E+0 3.700000E+1 3.382622E+1 2.813902E+1 2.878290E+1 8.478599E+0 2.243610E+1 1.740495845328548  
 1.000000E+1 3.700000E+1 3.424535E+1 2.817596E+1 2.892654E+1 8.363817E+0 2.243626E+1 1.9087923325515896  
 1.100000E+1 3.700000E+1 3.466813E+1 2.823866E+1 2.907019E+1 8.255838E+0 2.242905E+1 2.075274406790939  
 1.200000E+1 3.700000E+1 3.504354E+1 2.834184E+1 2.922119E+1 8.091800E+0 2.244024E+1 2.2517355455444603  
 1.300000E+1 3.700000E+1 3.541893E+1 2.854801E+1 2.940897E+1 7.938504E+0 2.243670E+1 2.39861329684027  
 1.400000E+1 3.700000E+1 3.574698E+1 2.883147E+1 2.957469E+1 7.738792E+0 2.243685E+1 2.540390888569276  
 1.500000E+1 3.700000E+1 3.603131E+1 2.916644E+1 2.973305E+1 7.554698E+0 2.243332E+1 2.6461885270043437  
 1.600000E+1 3.700000E+1 3.630091E+1 2.948654E+1 2.988022E+1 7.382374E+0 2.242596E+1 2.7507828307362643  
 1.700000E+1 3.700000E+1 3.655974E+1 2.977368E+1 3.002728E+1 7.191919E+0 2.242612E+1 2.886362019105482  
 1.800000E+1 3.700000E+1 3.676392E+1 2.999459E+1 3.018773E+1 6.983087E+0 2.241155E+1 3.0540311428115325  
 1.900000E+1 3.700000E+1 3.696445E+1 3.020975E+1 3.031905E+1 6.810605E+0 2.242274E+1 3.203740713072057  
 2.000000E+1 3.700000E+1 3.716119E+1 3.043199E+1 3.047206E+1 6.614384E+0 2.241906E+1 3.3838204307802093  
 2.100000E+1 3.700000E+1 3.731087E+1 3.061810E+1 3.058167E+1 6.400114E+0 2.240465E+1 3.594621452188997  
 2.200000E+1 3.700000E+1 3.746389E+1 3.083670E+1 3.073104E+1 6.220601E+0 2.240833E+1 3.767796262868886  
 2.300000E+1 3.700000E+1 3.758063E+1 3.104088E+1 3.085871E+1 6.015705E+0 2.241584E+1 3.9756739969547272  
 2.400000E+1 3.700000E+1 3.769008E+1 3.123777E+1 3.098273E+1 5.838082E+0 2.239760E+1 4.164832351655823  
 2.500000E+1 3.700000E+1 3.777402E+1 3.142373E+1 3.108854E+1 5.652684E+0 2.240879E+1 4.372268497050877  
 2.600000E+1 3.700000E+1 3.785798E+1 3.160240E+1 3.119799E+1 5.485285E+0 2.240526E+1 4.573954802980091  
 2.700000E+1 3.700000E+1 3.793448E+1 3.179914E+1 3.131458E+1 5.306004E+0 2.242734E+1 4.794310635081929  
 2.800000E+1 3.700000E+1 3.797471E+1 3.196688E+1 3.139853E+1 5.126409E+0 2.240541E+1 5.029372594747915  
 2.900000E+1 3.700000E+1 3.802222E+1 3.213827E+1 3.148976E+1 4.981511E+0 2.242764E+1 5.216382954392324  
 3.000000E+1 3.700000E+1 3.806260E+1 3.229888E+1 3.156293E+1 4.819690E+0 2.242795E+1 5.458676339241472  
 3.100000E+1 3.700000E+1 3.808097E+1 3.245569E+1 3.164688E+1 4.661958E+0 2.240970E+1 5.6941658458814635  
 3.200000E+1 3.700000E+1 3.808476E+1 3.259064E+1 3.170896E+1 4.525684E+0 2.241721E+1 5.901363529488915  
 3.300000E+1 3.700000E+1 3.810662E+1 3.274731E+1 3.179276E+1 4.402816E+0 2.240250E+1 6.082337117164748  
 3.400000E+1 3.700000E+1 3.811055E+1 3.286782E+1 3.183676E+1 4.256189E+0 2.241750E+1 6.367051505782511  
 3.500000E+1 3.700000E+1 3.811055E+1 3.299534E+1 3.189870E+1 4.130663E+0 2.239543E+1 6.595483219602387  
 3.600000E+1 3.700000E+1 3.808522E+1 3.313031E+1 3.194987E+1 4.007661E+0 2.239192E+1 6.786978831707739  
 3.700000E+1 3.700000E+1 3.808173E+1 3.325433E+1 3.198646E+1 3.914949E+0 2.238839E+1 6.929210409814563  
 3.800000E+1 3.700000E+1 3.807821E+1 3.337469E+1 3.203031E+1 3.796063E+0 2.238853E+1 7.1808995726157425  
 3.900000E+1 3.700000E+1 3.805650E+1 3.349143E+1 3.208147E+1 3.679777E+0 2.239235E+1 7.416980223037381  
 4.000000E+1 3.700000E+1 3.804193E+1 3.360437E+1 3.212883E+1 3.585917E+0 2.238500E+1 7.592179243083311  
 4.100000E+1 3.700000E+1 3.801294E+1 3.370289E+1 3.216541E+1 3.484005E+0 2.239619E+1 7.811734061218524  
 4.200000E+1 3.700000E+1 3.799866E+1 3.379792E+1 3.219486E+1 3.401895E+0 2.237810E+1 7.985583831342406  
 4.300000E+1 3.700000E+1 3.798060E+1 3.386366E+1 3.222780E+1 3.303730E+0 2.237825E+1 8.298280759514407  
 4.400000E+1 3.700000E+1 3.793688E+1 3.396202E+1 3.225331E+1 3.213221E+0 2.239664E+1 8.469608274781503  
 4.500000E+1 3.700000E+1 3.790060E+1 3.403504E+1 3.228261E+1 3.155404E+0 2.238944E+1 8.541323205753477  
 4.600000E+1 3.700000E+1 3.788618E+1 3.411170E+1 3.231190E+1 3.090876E+0 2.239695E+1 8.691938496288948  
 4.700000E+1 3.700000E+1 3.785718E+1 3.418472E+1 3.233756E+1 3.004649E+0 2.239710E+1 8.949365884840509  
 4.800000E+1 3.700000E+1 3.781741E+1 3.424696E+1 3.234879E+1 2.939859E+0 2.239005E+1 9.088508829678823  
 4.900000E+1 3.700000E+1 3.777733E+1 3.430890E+1 3.237065E+1 2.889890E+0 2.239741E+1 9.136776266064215  
 5.000000E+1 3.700000E+1 3.774849E+1 3.436749E+1 3.238552E+1 2.843628E+0 2.237564E+1 9.19861172938013  
