Time T(Setpoint) T(Copper) T(Cell1) T(Cell2) DAC T(Environment) RTH  
 s C C C C V C  
 0.000000E+0 2.700000E+1 2.734019E+1 2.685820E+1 2.443354E+1 -1.000000E+0 2.280729E+1 0.0146996468678588  
 1.000000E+0 2.700000E+1 2.732945E+1 2.684010E+1 2.441545E+1 0.000000E+0 2.280391E+1 0.0149442462191594  
 2.001000E+0 2.700000E+1 2.733313E+1 2.685850E+1 2.444120E+1 0.000000E+0 2.281495E+1 0.0144748595092655  
 3.000000E+0 2.700000E+1 2.732610E+1 2.684779E+1 2.443785E+1 0.000000E+0 2.279320E+1 0.0145987293531577  
 4.000000E+0 2.700000E+1 2.728945E+1 2.682586E+1 2.443064E+1 0.000000E+0 2.277863E+1 0.0141725968234249  
 5.000000E+0 2.700000E+1 2.727857E+1 2.683705E+1 2.441975E+1 3.421354E-3 2.278247E+1 0.0134866321200042  
 6.000000E+0 2.700000E+1 2.728976E+1 2.684088E+1 2.443830E+1 0.000000E+0 2.278262E+1 0.0137075372790016  
 7.000000E+0 2.700000E+1 2.726785E+1 2.683738E+1 2.444583E+1 0.000000E+0 2.278647E+1 0.0131487763979349  
 8.000000E+0 2.700000E+1 2.727184E+1 2.681193E+1 2.443142E+1 0.000000E+0 2.276470E+1 0.014074707553496  
 9.000000E+0 2.700000E+1 2.725360E+1 2.682312E+1 2.443893E+1 0.000000E+0 2.276853E+1 0.0131630664829088  
 1.000000E+1 2.700000E+1 2.723167E+1 2.680855E+1 2.443541E+1 0.000000E+0 2.275764E+1 0.0129520819963148  
 1.100000E+1 2.700000E+1 2.723920E+1 2.680873E+1 2.445029E+1 0.000000E+0 2.276150E+1 0.0131768951291582  
 1.200000E+1 2.700000E+1 2.722832E+1 2.680888E+1 2.444309E+1 0.000000E+0 2.274325E+1 0.0128391178134769  
 1.300000E+1 2.700000E+1 2.721375E+1 2.680535E+1 2.443221E+1 0.000000E+0 2.276180E+1 0.0125044746309667  
 1.400000E+1 2.700000E+1 2.719936E+1 2.679832E+1 2.443989E+1 0.000000E+0 2.274373E+1 0.0122855678549501  
 1.500000E+1 2.700000E+1 2.720319E+1 2.680583E+1 2.445108E+1 0.000000E+0 2.275492E+1 0.0121660139411981  
 1.600000E+1 2.700000E+1 2.719231E+1 2.679862E+1 2.444019E+1 0.000000E+0 2.276243E+1 0.0120601359450438  
 1.700000E+1 2.700000E+1 2.717422E+1 2.677685E+1 2.444785E+1 0.000000E+0 2.276642E+1 0.0121926690481399  
 1.800000E+1 2.700000E+1 2.716333E+1 2.678804E+1 2.445168E+1 0.000000E+0 2.275553E+1 0.0115055609031473  
 1.900000E+1 2.700000E+1 2.717086E+1 2.679557E+1 2.446290E+1 0.000000E+0 2.278881E+1 0.0114990953045128  
 2.000000E+1 2.700000E+1 2.714158E+1 2.677733E+1 2.444097E+1 0.000000E+0 2.277425E+1 0.0111760336222993  
 2.100000E+1 2.700000E+1 2.714558E+1 2.678501E+1 2.444866E+1 1.527009E-2 2.278929E+1 0.0110567794048623  
 2.200000E+1 2.700000E+1 2.715310E+1 2.677781E+1 2.446721E+1 0.000000E+0 2.278577E+1 0.0115143535841788  
 2.300000E+1 2.700000E+1 2.713117E+1 2.677796E+1 2.445632E+1 0.000000E+0 2.278960E+1 0.0108367909248182  
 2.400000E+1 2.700000E+1 2.710925E+1 2.677075E+1 2.445647E+1 8.472490E-3 2.279343E+1 0.0103910701570258  
 2.500000E+1 2.700000E+1 2.711693E+1 2.677107E+1 2.446416E+1 1.673713E-2 2.280111E+1 0.0106167492137735  
 2.600000E+1 2.700000E+1 2.708765E+1 2.676019E+1 2.446063E+1 0.000000E+0 2.279391E+1 0.01006010591354  
 2.700000E+1 2.700000E+1 2.708044E+1 2.675666E+1 2.445710E+1 2.201486E-2 2.279038E+1 0.00994967510167274  
 2.800000E+1 2.700000E+1 2.709163E+1 2.675314E+1 2.446461E+1 1.696272E-2 2.279421E+1 0.0104044469272454  
 2.900000E+1 2.700000E+1 2.706620E+1 2.674978E+1 2.445390E+1 0.000000E+0 2.277246E+1 0.00972850660012474  
 3.000000E+1 2.700000E+1 2.707371E+1 2.673153E+1 2.446141E+1 2.081523E-2 2.275789E+1 0.0105348818544165  
 3.100000E+1 2.700000E+1 2.704075E+1 2.673169E+1 2.445788E+1 7.982731E-4 2.275805E+1 0.00951508448814489  
 3.200000E+1 2.700000E+1 2.703722E+1 2.671345E+1 2.445068E+1 3.271236E-2 2.275820E+1 0.00998158078180667  
 3.300000E+1 2.700000E+1 2.703755E+1 2.672481E+1 2.446940E+1 2.864265E-2 2.276956E+1 0.00963333936811655  
 3.400000E+1 2.700000E+1 2.703034E+1 2.670288E+1 2.445851E+1 2.324214E-2 2.274764E+1 0.0101033344613971  
 3.500000E+1 2.700000E+1 2.702682E+1 2.671408E+1 2.446602E+1 2.740607E-2 2.275515E+1 0.00964107959277747  
 3.600000E+1 2.700000E+1 2.700138E+1 2.671072E+1 2.444795E+1 2.721310E-2 2.275180E+1 0.00896265667233252  
 3.700000E+1 2.700000E+1 2.700154E+1 2.670719E+1 2.445914E+1 5.466342E-2 2.274459E+1 0.00907883929726401  
 3.800000E+1 2.700000E+1 2.699081E+1 2.668175E+1 2.446313E+1 5.175805E-2 2.273754E+1 0.00955073642383772  
 3.900000E+1 2.700000E+1 2.698362E+1 2.668559E+1 2.446330E+1 6.472650E-2 2.273403E+1 0.00920723112576102  
 4.000000E+1 2.700000E+1 2.698377E+1 2.668207E+1 2.447449E+1 7.360654E-2 2.271210E+1 0.0093230701625464  
