Time T(Setpoint) T(Copper) T(Cell1) T(Cell2) DAC T(Environment) RTH  
 s C C C C V C  
 0.000000E+0 2.700000E+1 2.547599E+1 2.551278E+1 2.426918E+1 -1.000000E+0 2.304765E+1 -0.00144202239034711  
 1.000000E+0 2.700000E+1 2.549438E+1 2.553118E+1 2.428390E+1 1.714513E+0 2.302925E+1 -0.00144137482090524  
 2.000000E+0 2.700000E+1 2.548350E+1 2.552029E+1 2.428405E+1 1.884319E+0 2.304045E+1 -0.0014415980382668  
 3.000000E+0 2.700000E+1 2.548733E+1 2.551308E+1 2.428052E+1 2.084764E+0 2.303692E+1 -0.00100928621710897  
 4.000000E+0 2.700000E+1 2.547982E+1 2.551661E+1 2.428773E+1 2.270018E+0 2.302205E+1 -0.00144180594522548  
 5.000000E+0 2.700000E+1 2.549071E+1 2.550174E+1 2.428390E+1 2.467551E+0 2.303661E+1 -0.000432519506512169  
 6.000000E+0 2.700000E+1 2.548365E+1 2.551308E+1 2.429156E+1 2.645328E+0 2.304428E+1 -0.00115352595609773  
 7.000000E+0 2.700000E+1 2.547997E+1 2.550941E+1 2.429524E+1 2.841927E+0 2.303324E+1 -0.0011540839243243  
 8.000000E+0 2.700000E+1 2.545422E+1 2.549837E+1 2.426580E+1 3.035610E+0 2.302956E+1 -0.00173148322814368  
 9.000000E+0 2.700000E+1 2.548014E+1 2.550222E+1 2.429909E+1 3.254588E+0 2.303709E+1 -0.000865806976804472  
 1.000000E+1 2.700000E+1 2.547647E+1 2.550958E+1 2.429173E+1 3.418641E+0 2.304445E+1 -0.001297943752896  
 1.100000E+1 2.700000E+1 2.544703E+1 2.549486E+1 2.427701E+1 3.612762E+0 2.305181E+1 -0.00187606443024192  
 1.200000E+1 2.700000E+1 2.545807E+1 2.548750E+1 2.427701E+1 3.836318E+0 2.304445E+1 -0.00115468366846499  
 1.300000E+1 2.700000E+1 2.545454E+1 2.547294E+1 2.426613E+1 4.018021E+0 2.305196E+1 -0.000722335152518702  
 1.400000E+1 2.700000E+1 2.545439E+1 2.546911E+1 2.426597E+1 4.214728E+0 2.307020E+1 -0.000577955020807579  
 1.500000E+1 2.700000E+1 2.545838E+1 2.549149E+1 2.428835E+1 4.408084E+0 2.309994E+1 -0.00129886483685342  
 1.600000E+1 2.700000E+1 2.543615E+1 2.547294E+1 2.428084E+1 4.596801E+0 2.310347E+1 -0.00144427773158496  
 1.700100E+1 2.700000E+1 2.545822E+1 2.549134E+1 2.428820E+1 4.814510E+0 2.313290E+1 -0.00129926476991795  
 1.800000E+1 2.700000E+1 2.546190E+1 2.548766E+1 2.429924E+1 4.985159E+0 2.314394E+1 -0.00101068517078468  
 1.900000E+1 2.700000E+1 2.547694E+1 2.549166E+1 2.430325E+1 5.173740E+0 2.314795E+1 -0.000577443760037617  
 2.000000E+1 2.700000E+1 2.549149E+1 2.549517E+1 2.431043E+1 5.349083E+0 2.314409E+1 -0.00014434106538622  
 2.100000E+1 2.700000E+1 2.549166E+1 2.544015E+1 2.430325E+1 5.523101E+0 2.310747E+1 0.00202475221254593  
 2.200000E+1 2.700000E+1 2.549166E+1 2.548798E+1 2.430325E+1 5.711470E+0 2.311851E+1 0.000144381783099298  
 2.300000E+1 2.700000E+1 2.548813E+1 2.546238E+1 2.429604E+1 5.900012E+0 2.309659E+1 0.00101129588043231  
 2.400000E+1 2.700000E+1 2.548813E+1 2.546238E+1 2.430708E+1 6.092525E+0 2.310027E+1 0.00101129588043231  
 2.500000E+1 2.700000E+1 2.550653E+1 2.548445E+1 2.431076E+1 6.281508E+0 2.310395E+1 0.00086641069357991  
 2.600000E+1 2.700000E+1 2.552125E+1 2.548077E+1 2.432179E+1 6.449793E+0 2.309291E+1 0.00158864900864451  
 2.700000E+1 2.700000E+1 2.552493E+1 2.546974E+1 2.430708E+1 6.619922E+0 2.307819E+1 0.00216688509580387  
 2.800000E+1 2.700000E+1 2.552860E+1 2.546606E+1 2.431076E+1 6.800627E+0 2.307819E+1 0.00245581766476644  
 2.900000E+1 2.700000E+1 2.552876E+1 2.547725E+1 2.432562E+1 6.980873E+0 2.308202E+1 0.00202180376610493  
 3.000000E+1 2.700000E+1 2.552508E+1 2.546989E+1 2.430355E+1 7.164628E+0 2.307834E+1 0.00216687233435243  
 3.100000E+1 2.700000E+1 2.553611E+1 2.545517E+1 2.431091E+1 7.352672E+0 2.307098E+1 0.0031797076978862  
 3.200000E+1 2.700000E+1 2.555482E+1 2.545548E+1 2.430754E+1 7.524620E+0 2.307497E+1 0.00390249957965821  
 3.300000E+1 2.700000E+1 2.554378E+1 2.547019E+1 2.431489E+1 7.686565E+0 2.309704E+1 0.00288925995448023  
 3.400000E+1 2.700000E+1 2.554010E+1 2.547019E+1 2.431857E+1 7.879630E+0 2.311176E+1 0.0027447773259642  
 3.500000E+1 2.700000E+1 2.555114E+1 2.546284E+1 2.431489E+1 8.065797E+0 2.312280E+1 0.00346779856449635  
 3.600100E+1 2.700000E+1 2.556218E+1 2.547387E+1 2.432593E+1 8.235869E+0 2.311912E+1 0.00346668959211929  
 3.700000E+1 2.700000E+1 2.556953E+1 2.547755E+1 2.432593E+1 8.404557E+0 2.312648E+1 0.00361023724808702  
 3.800000E+1 2.700000E+1 2.556986E+1 2.548156E+1 2.433361E+1 8.576009E+0 2.313784E+1 0.00346525095009869  
 3.900000E+1 2.700000E+1 2.557354E+1 2.547052E+1 2.432993E+1 8.754453E+0 2.315256E+1 0.00404467596264233  
 4.000000E+1 2.700000E+1 2.557722E+1 2.546316E+1 2.433361E+1 8.929079E+0 2.315256E+1 0.00447941261021814  
 4.100000E+1 2.700000E+1 2.558825E+1 2.547420E+1 2.434097E+1 9.000000E+0 2.317831E+1 0.00447707876989263  
 4.200000E+1 2.700000E+1 2.557722E+1 2.547787E+1 2.433361E+1 9.000000E+0 2.317831E+1 0.00389946255318836  
 4.300000E+1 2.700000E+1 2.558825E+1 2.547420E+1 2.432993E+1 9.000000E+0 2.320039E+1 0.00447707876989263  
 4.400000E+1 2.700000E+1 2.563241E+1 2.546316E+1 2.432625E+1 9.000000E+0 2.318199E+1 0.00664685765631609  
 4.500000E+1 2.700000E+1 2.650886E+1 2.547130E+1 2.433072E+1 9.000000E+0 2.320485E+1 0.0407344737017741  
 4.600000E+1 2.700000E+1 2.717496E+1 2.547145E+1 2.433455E+1 8.184937E+0 2.320500E+1 0.0668791921936128  
 4.700000E+1 2.700000E+1 2.763120E+1 2.548617E+1 2.434927E+1 7.496963E+0 2.321972E+1 0.0841644703774635  
 4.800000E+1 2.700000E+1 2.796249E+1 2.547896E+1 2.432734E+1 6.961831E+0 2.320884E+1 0.0974737587405451  
 4.900000E+1 2.700000E+1 2.824212E+1 2.551207E+1 2.433838E+1 6.510227E+0 2.321619E+1 0.107010132850843  
 5.000000E+1 2.700000E+1 2.844463E+1 2.554166E+1 2.432750E+1 6.075338E+0 2.320531E+1 0.113656277626435  
 5.100100E+1 2.700000E+1 2.862860E+1 2.558949E+1 2.433853E+1 5.692246E+0 2.320163E+1 0.118763992561008  
 5.200000E+1 2.700000E+1 2.877914E+1 2.564805E+1 2.434927E+1 5.304704E+0 2.320868E+1 0.122079066439749  
 5.300000E+1 2.700000E+1 2.887097E+1 2.569206E+1 2.433072E+1 4.931767E+0 2.321589E+1 0.123731222798016  
 5.400000E+1 2.700000E+1 2.896326E+1 2.574755E+1 2.433838E+1 4.606062E+0 2.322723E+1 0.124893824849355  
 5.500000E+1 2.700000E+1 2.904068E+1 2.583233E+1 2.435693E+1 4.268369E+0 2.323475E+1 0.124199017277961  
 5.600000E+1 2.700000E+1 2.908483E+1 2.590224E+1 2.435325E+1 3.935868E+0 2.323106E+1 0.122869296246193  
 5.700000E+1 2.700000E+1 2.911444E+1 2.596495E+1 2.436078E+1 3.631111E+0 2.322388E+1 0.121297749466107  
 5.800000E+1 2.700000E+1 2.914019E+1 2.603486E+1 2.436446E+1 3.337200E+0 2.322756E+1 0.119275847844006  
 5.900000E+1 2.700000E+1 2.912578E+1 2.609403E+1 2.437580E+1 3.043922E+0 2.322786E+1 0.116185579613421  
